edges_removed,Camisano Vicentino_size_of_largest_component,Camisano Vicentino_number_of_strongly_connected_components
0,90,2
1,90,2
2,90,2
3,90,2
4,90,2
5,90,2
6,90,2
7,90,2
8,90,2
9,90,2
10,90,2
11,90,2
12,90,2
13,90,2
14,90,2
15,90,2
16,90,2
17,90,2
18,90,2
19,90,2
20,90,2
21,90,2
22,90,2
23,90,2
24,90,2
25,90,2
26,90,2
27,90,2
28,90,2
29,90,2
30,90,2
31,90,2
32,90,2
33,90,2
34,90,2
35,90,2
36,90,2
37,90,2
38,90,2
39,90,2
40,90,2
41,90,2
42,90,2
43,90,2
44,90,2
45,90,2
46,90,2
47,90,2
48,90,2
49,90,2
50,90,2
51,90,2
52,90,2
53,90,2
54,90,2
55,90,2
56,90,2
57,90,2
58,90,2
59,90,2
60,90,2
61,90,2
62,90,2
63,90,2
64,90,2
65,90,2
66,90,2
67,90,2
68,90,2
69,90,2
70,90,2
71,90,2
72,90,2
73,90,2
74,90,2
75,90,2
76,90,2
77,90,2
78,90,2
79,90,2
80,90,2
81,89,3
82,88,4
83,87,5
84,86,6
85,85,7
86,84,8
87,83,9
88,82,10
89,81,11
90,80,12
91,79,13
92,78,14
93,77,15
94,76,16
95,76,16
96,76,16
97,76,16
98,76,16
99,76,16
100,76,16
101,76,16
102,76,16
103,76,16
104,76,16
105,76,16
106,76,16
107,76,16
108,76,16
109,76,16
110,76,16
111,76,16
112,76,16
113,76,16
114,76,16
115,76,16
116,76,16
117,76,16
118,76,16
119,76,16
120,76,16
121,76,16
122,76,16
123,76,16
124,76,16
125,76,16
126,76,16
127,76,16
128,76,16
129,76,16
130,76,16
131,76,16
132,76,16
133,76,16
134,76,16
135,76,16
136,76,16
137,76,16
138,76,16
139,76,16
140,76,16
141,76,16
142,76,16
143,76,16
144,76,16
145,76,16
146,76,16
147,76,16
148,76,16
149,76,16
150,76,16
151,76,16
152,76,16
153,76,16
154,76,16
155,76,16
156,76,16
157,76,16
158,76,16
159,76,16
160,75,17
161,74,18
162,74,18
163,73,19
164,73,19
165,73,19
166,73,19
167,72,20
168,71,21
169,70,22
170,70,22
171,70,22
172,70,22
173,69,23
174,69,23
175,69,23
176,68,24
177,68,24
178,68,24
179,68,24
180,68,24
181,68,24
182,68,24
183,68,24
184,68,24
185,68,24
186,68,24
187,68,24
188,68,24
189,67,25
190,66,26
191,66,26
192,66,26
193,66,26
194,66,26
195,66,26
196,65,27
197,65,27
198,65,27
199,65,27
200,64,28
201,64,28
202,63,29
203,62,30
204,62,30
205,62,30
206,61,31
207,61,31
208,61,31
209,60,32
210,59,33
211,59,33
212,59,33
213,59,33
214,58,34
215,58,34
216,58,34
217,58,34
218,57,35
219,57,35
220,57,35
221,57,36
222,56,37
223,56,37
224,56,37
225,56,37
226,55,38
227,55,38
228,55,38
229,55,38
230,55,38
231,55,38
232,55,38
233,55,38
234,55,38
235,55,38
236,55,38
237,54,39
238,54,39
239,53,40
240,53,40
241,53,40
242,52,41
243,52,41
244,52,41
245,52,41
246,52,41
247,52,41
248,52,41
249,51,42
250,50,43
251,50,43
252,50,43
253,50,43
254,50,43
255,50,43
256,49,44
257,49,44
258,49,44
259,49,44
260,48,45
261,48,45
262,48,45
263,48,45
264,48,45
265,47,46
266,47,46
267,47,46
268,47,46
269,47,46
270,46,47
271,46,47
272,46,47
273,46,47
274,46,47
275,46,47
276,46,47
277,45,48
278,45,48
279,45,48
280,45,48
281,45,48
282,44,49
283,44,49
284,44,49
285,44,49
286,44,49
287,44,49
288,44,49
289,43,50
290,43,50
291,43,50
292,43,50
293,42,51
294,42,51
295,42,51
296,42,51
297,42,51
298,42,51
299,41,52
300,41,52
301,41,52
302,41,52
303,40,53
304,40,53
305,40,53
306,39,54
307,38,55
308,38,55
309,38,55
310,38,55
311,37,56
312,37,56
313,36,57
314,34,58
315,34,59
316,34,59
317,34,59
318,34,59
319,34,59
320,34,59
321,33,60
322,33,60
323,33,60
324,33,60
325,33,60
326,33,60
327,32,61
328,32,61
329,32,61
330,32,61
331,32,61
332,32,61
333,31,62
334,31,62
335,31,62
336,30,63
337,30,63
338,30,63
339,30,63
340,29,64
341,29,64
342,29,64
343,29,64
344,28,65
345,28,65
346,28,65
347,27,66
348,26,67
349,25,68
350,25,68
351,25,68
352,25,68
353,24,69
354,23,70
355,22,71
356,22,71
357,21,72
358,20,73
359,19,74
360,18,75
361,18,75
362,17,76
363,13,77
364,13,78
365,13,79
366,13,80
367,12,81
368,12,81
369,11,82
370,11,82
371,10,83
372,9,84
373,9,84
374,8,85
375,8,85
376,7,86
377,6,87
378,6,87
379,4,88
380,4,89
381,3,90
382,2,91
383,1,92
