nodes_removed,size_of_largest_component,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length
0,90.0,2.0,90.0,287949.36529338325
1,88.9,2.1,0.0,0.0
2,87.75,2.25,0.0,0.0
3,86.45,2.6,0.0,0.0
4,85.4,2.7,0.0,0.0
5,84.15,3.0,0.0,0.0
6,83.0,3.25,0.0,0.0
7,81.85,3.45,0.0,0.0
8,80.55,3.8,0.0,0.0
9,79.4,3.95,0.0,0.0
10,78.4,3.95,0.0,0.0
11,77.4,4.0,0.0,0.0
12,76.3,4.1,0.0,0.0
13,75.35,4.05,0.0,0.0
14,74.05,4.35,0.0,0.0
15,73.0,4.45,0.0,0.0
16,71.75,4.7,0.0,0.0
17,70.8,4.65,0.0,0.0
18,69.8,4.65,0.0,0.0
19,68.75,4.75,0.0,0.0
20,67.65,4.9,0.0,0.0
21,66.5,5.05,0.0,0.0
22,65.25,5.3,0.0,0.0
23,64.0,5.55,0.0,0.0
24,62.95,5.6,0.0,0.0
25,61.95,5.6,0.0,0.0
26,61.0,5.6,0.0,0.0
27,60.0,5.6,0.0,0.0
28,58.95,5.65,0.0,0.0
29,57.75,5.85,0.0,0.0
30,56.85,5.8,0.0,0.0
31,55.9,5.75,0.0,0.0
32,54.55,6.1,0.0,0.0
33,53.45,6.25,0.0,0.0
34,52.35,6.35,0.0,0.0
35,51.2,6.5,0.0,0.0
36,50.15,6.55,0.0,0.0
37,49.15,6.55,0.0,0.0
38,48.15,6.55,0.0,0.0
39,46.95,6.75,0.0,0.0
40,45.7,7.0,0.0,0.0
41,44.45,7.3,0.0,0.0
42,43.45,7.3,0.0,0.0
43,42.35,7.4,0.0,0.0
44,41.5,7.3,0.0,0.0
45,40.5,7.3,0.0,0.0
46,39.5,7.3,0.0,0.0
47,38.55,7.25,0.0,0.0
48,37.75,7.05,0.0,0.0
49,36.55,7.3,0.0,0.0
50,35.15,7.7,0.0,0.0
51,34.15,7.7,0.0,0.0
52,33.25,7.6,0.0,0.0
53,32.25,7.55,0.0,0.0
54,31.5,7.3,0.0,0.0
55,30.5,7.3,0.0,0.0
56,29.6,7.2,0.0,0.0
57,28.65,7.15,0.0,0.0
58,27.6,7.2,0.0,0.0
59,26.5,7.3,0.0,0.0
60,25.3,7.5,0.0,0.0
61,24.2,7.65,0.0,0.0
62,22.8,7.9,0.0,0.0
63,22.0,7.7,0.0,0.0
64,20.7,7.95,0.0,0.0
65,19.25,8.4,0.0,0.0
66,18.25,8.4,0.0,0.0
67,17.25,8.4,0.0,0.0
68,16.4,8.3,0.0,0.0
69,15.2,8.45,0.0,0.0
70,14.55,8.1,0.0,0.0
71,13.45,8.25,0.0,0.0
72,11.85,8.8,0.0,0.0
73,11.2,8.45,0.0,0.0
74,10.3,8.4,0.0,0.0
75,9.6,8.15,0.0,0.0
76,8.95,7.85,0.0,0.0
77,8.05,7.85,0.0,0.0
78,7.5,7.4,0.0,0.0
79,6.85,7.05,0.0,0.0
80,5.9,7.0,0.0,0.0
81,5.25,6.7,0.0,0.0
82,4.7,6.3,0.0,0.0
83,3.85,6.15,0.0,0.0
84,3.55,5.45,0.0,0.0
85,2.5,5.5,0.0,0.0
86,2.15,4.85,0.0,0.0
87,1.85,4.15,0.0,0.0
88,1.65,3.35,0.0,0.0
89,1.2,2.8,0.0,0.0
90,1.0,2.0,0.0,0.0
91,1.0,1.0,0.0,0.0
92,0.0,0.0,0.0,0.0
